date,cumulative_return,daily_return
2022-05-12,34.13,1.0623869801084984
2022-05-13,34.61,0.35786177588907897
2022-05-16,34.89,0.2080083203328087
2022-05-17,35.3,0.3039513677811634
2022-05-18,37.35,1.5151515151515138
2022-05-19,39.0,1.2013105205679109
2022-05-20,41.18,1.568345323740994
2022-05-23,44.5,2.3516078764697523
2022-05-24,37.89,-4.574394463667819
2022-05-25,40.83,2.132134309957223
2022-05-26,41.3,0.33373570972092814
2022-05-27,40.41,-0.6298655343241477
2022-05-30,41.64,0.8760059824798772
2022-05-31,44.12,1.7509178198249264
2022-06-01,45.24,0.7771301693033417
2022-06-02,46.81,1.0809694299091177
2022-06-06,48.64,1.2465090933860168
2022-06-07,47.94,-0.47093649085037104
2022-06-08,47.92,-0.01351899418683411
2022-06-09,45.18,-1.8523526230394882
2022-06-10,47.31,1.4671442347430785
2022-06-13,47.53,0.14934491887854673
2022-06-14,47.52,-0.006778282383246292
2022-06-15,47.39,-0.08812364425163643
2022-06-16,48.26,0.5902707103602634
2022-06-17,49.27,0.6812356670713671
2022-06-20,49.7,0.2880686005225508
2022-06-21,48.73,-0.6479625918503817
2022-06-22,47.19,-1.0354333355745204
2022-06-23,50.06,1.949860724233976
2022-06-24,51.88,1.2128481940557156
2022-06-27,52.74,0.5662365025019822
2022-06-28,54.81,1.3552442058399894
2022-06-29,52.01,-1.8086686906530591
2022-06-30,53.37,0.8946779817117223
2022-07-01,53.24,-0.08476233944056943
2022-07-04,55.14,1.239885147481079
2022-07-05,54.18,-0.6187959262601739
2022-07-06,53.45,-0.4734725645349491
2022-07-07,54.52,0.6972955360052158
2022-07-08,54.88,0.23297954957286482
2022-07-11,53.15,-1.116993801652899
2022-07-12,51.26,-1.2340842311459266
2022-07-13,52.23,0.6412799153775017
2022-07-14,53.0,0.5058135715693357
2022-07-15,50.69,-1.509803921568631
2022-07-18,53.34,1.7585772114937948
2022-07-19,54.28,0.6130168253554391
2022-07-20,55.73,0.9398496240601517
2022-07-21,55.19,-0.3467539973030398
2022-07-22,55.32,0.083768284038932
2022-07-25,54.16,-0.7468452227659017
2022-07-26,55.36,0.7784120394395355
2022-07-27,56.19,0.5342430484037264
2022-07-28,56.58,0.2496958832191476
2022-07-29,55.68,-0.5747860518584669
2022-08-01,56.23,0.35328879753340203
2022-08-02,51.06,-3.3092235806183146
2022-08-03,50.4,-0.4369124851052675
2022-08-04,53.21,1.8683510638297873
2022-08-05,55.31,1.3706677109849297
2022-08-08,56.98,1.075268817204278
2022-08-09,57.44,0.29303095935788726
2022-08-10,58.3,0.5462398373983657
2022-08-11,59.55,0.7896399241945629
2022-08-12,59.48,-0.04387339392040168
2022-08-15,60.64,0.727363932781544
2022-08-16,61.38,0.4606573705179251
2022-08-17,61.82,0.27264840748544295
2022-08-18,60.97,-0.52527499691013
2022-08-19,60.37,-0.3727402621606646
2022-08-22,64.01,2.2697512003492015
2022-08-23,64.73,0.4389976220962266
2022-08-24,60.58,-2.5192739634553596
2022-08-25,60.36,-0.13700336280979553
2022-08-26,59.41,-0.5924170616113833
2022-08-29,60.82,0.8845116366601902
2022-08-30,60.51,-0.19276209426688506
2022-08-31,56.39,-2.566818266774662
2022-09-01,55.27,-0.7161583221433343
2022-09-02,56.39,0.7213241450376495
2022-09-05,56.57,0.11509687320163664
2022-09-06,58.52,1.245449319793046
2022-09-07,59.01,0.3091092606611223
2022-09-08,58.0,-0.6351801773473387
2022-09-09,57.87,-0.08227848101266533
2022-09-13,57.58,-0.18369544561980256
2022-09-14,56.62,-0.6092143673055106
2022-09-15,52.24,-2.7965777039969275
2022-09-16,50.04,-1.4450867052023142
2022-09-19,48.52,-1.0130631831511527
2022-09-20,51.67,2.12092647454889
2022-09-21,50.33,-0.883497065998573
2022-09-22,50.41,0.05321625756669057
2022-09-23,47.27,-2.0876271524499668
2022-09-26,47.11,-0.10864398723433588
2022-09-27,51.78,3.1744952756440625
2022-09-28,46.77,-3.300830148899725
2022-09-29,47.08,0.2112148259181046
2022-09-30,43.78,-2.2436769105248944
2022-10-10,39.57,-2.9280845736541994
2022-10-11,40.08,0.3654080389768666
2022-10-12,46.2,4.3689320388349495
2022-10-13,47.19,0.6771545827633396
2022-10-14,51.44,2.8874244174196706
2022-10-17,53.64,1.4527205493924944
2022-10-18,53.85,0.13668315542827436
2022-10-19,52.14,-1.1114722131946753
2022-10-20,52.38,0.15774944130406698
2022-10-21,51.86,-0.3412521328258311
2022-10-24,49.89,-1.2972474647701904
2022-10-25,49.96,0.046700914003605654
2022-10-26,52.6,1.7604694585222624
2022-10-27,50.92,-1.1009174311926717
2022-10-28,44.35,-4.353299761463014
2022-10-31,45.46,0.7689643228264709
2022-11-01,50.58,3.519868004949811
2022-11-02,54.77,2.7825740470182048
2022-11-03,56.0,0.794727660399297
2022-11-04,59.9,2.499999999999991
2022-11-07,61.08,0.7379612257661039
2022-11-08,60.98,-0.06208095356345922
2022-11-09,60.78,-0.12423903590507157
2022-11-10,59.97,-0.5037940042293965
2022-11-11,61.09,0.7001312746139909
2022-11-14,60.47,-0.38487801849897973
2022-11-15,63.2,1.7012525705739412
2022-11-16,62.99,-0.12867647058822929
2022-11-17,63.96,0.5951285354929725
2022-11-18,62.65,-0.7989753598438676
2022-11-21,62.47,-0.11066707654473484
2022-11-22,60.92,-0.954022281036504
2022-11-23,60.51,-0.25478498632861557
2022-11-24,60.95,0.27412622266527187
2022-11-25,60.07,-0.5467536502019366
2022-11-28,59.17,-0.5622540138689347
2022-11-29,61.11,1.218822642457762
2022-11-30,60.48,-0.39103717956675554
2022-12-01,61.75,0.7913758723828712
2022-12-02,62.35,0.37094281298297727
2022-12-05,63.94,0.9793655682168279
2022-12-06,63.52,-0.2561912894961549
2022-12-07,63.59,0.042808219178080975
2022-12-08,63.26,-0.20172382174948877
2022-12-09,62.97,-0.17763077300011476
2022-12-12,62.02,-0.5829293735043262
2022-12-13,61.55,-0.29008764350081373
2022-12-14,61.07,-0.2971216341689842
2022-12-15,60.82,-0.15521201961880005
2022-12-16,59.2,-1.0073373958462861
2022-12-19,56.19,-1.8907035175879439
2022-12-20,55.1,-0.6978679813048116
2022-12-21,53.93,-0.7543520309477914
2022-12-22,52.67,-0.8185538881309684
2022-12-23,52.71,0.02620030130346951
2022-12-26,57.08,2.8616331608932066
2022-12-27,59.01,1.2286732874968287
2022-12-28,57.47,-0.968492547638522
2022-12-29,56.83,-0.4064266209436673
2022-12-30,57.41,0.3698272014283077
2023-01-03,59.98,1.6326789911695672
2023-01-04,60.61,0.39379922490310193
2023-01-05,61.31,0.43583836622873573
2023-01-06,60.75,-0.3471576467670934
2023-01-09,60.87,0.07465007776050747
2023-01-10,60.44,-0.26729657487412073
2023-01-11,58.7,-1.084517576664168
2023-01-12,59.1,0.2520478890989164
2023-01-13,59.44,0.2137020741671769
2023-01-16,60.37,0.5832915203211275
2023-01-17,60.24,-0.08106254286960324
2023-01-18,60.79,0.3432351472790751
2023-01-19,61.78,0.6157099322097181
2023-01-20,62.36,0.3585115589071819
2023-01-30,64.2,1.1332840601133043
2023-01-31,64.75,0.3349573690621277
2023-02-01,67.51,1.6752655538694983
2023-02-02,67.66,0.0895468927228249
2023-02-03,67.54,-0.07157342240247111
2023-02-06,67.54,0.0
